k,security_bits,type,bitlen,time_us
16,16,EC,32,12.718529
16,16,EC,32,13.061588
16,16,EC,32,13.601412
16,16,EC,32,12.297176
16,16,EC,32,12.324941
16,16,EC,32,12.487059
16,16,EC,32,12.367765
16,16,EC,32,14.103588
16,16,EC,32,12.632059
16,16,EC,32,12.591059
16,16,EC,32,12.810471
16,16,EC,32,13.937706
16,16,EC,32,12.574588
16,16,EC,32,12.482882
16,16,EC,32,12.522000
16,16,EC,32,12.321529
16,16,EC,32,13.226824
16,16,EC,32,13.320412
16,16,EC,32,12.284824
16,16,EC,32,12.709941
16,16,EC,32,13.493176
16,16,EC,32,12.835176
16,16,EC,32,12.434941
16,16,EC,32,12.905941
16,16,EC,32,12.392706
16,16,EC,32,15.156000
16,16,EC,32,12.710059
16,16,EC,32,12.566471
16,16,EC,32,12.383529
16,16,EC,32,13.633882
16,16,EC,32,13.510471
16,16,EC,32,12.429588
16,16,EC,32,12.375765
16,16,EC,32,12.330588
16,16,EC,32,13.755647
16,16,EC,32,12.429706
16,16,EC,32,12.610000
16,16,EC,32,12.630294
16,16,EC,32,12.879294
16,16,EC,32,12.740765
16,16,EC,32,12.474294
16,16,EC,32,12.377235
16,16,EC,32,13.075765
16,16,EC,32,12.664588
16,16,EC,32,12.558824
16,16,EC,32,12.767882
16,16,EC,32,12.940471
16,16,EC,32,12.696588
16,16,EC,32,13.953941
16,16,EC,32,12.325353
16,16,EC,32,12.562176
16,16,EC,32,12.446118
16,16,EC,32,12.558471
16,16,EC,32,12.715059
16,16,EC,32,12.140471
16,16,EC,32,12.607882
16,16,EC,32,12.515588
16,16,EC,32,12.859824
16,16,EC,32,12.612706
16,16,EC,32,12.666588
16,16,EC,32,12.329941
16,16,EC,32,12.767118
16,16,EC,32,12.439706
16,16,EC,32,12.515353
16,16,EC,32,12.534059
16,16,EC,32,12.814647
16,16,EC,32,12.697294
16,16,EC,32,12.490000
16,16,EC,32,12.449059
16,16,EC,32,12.762118
16,16,EC,32,12.893529
16,16,EC,32,13.114941
16,16,EC,32,12.708706
16,16,EC,32,12.698765
16,16,EC,32,12.737765
16,16,EC,32,12.904176
16,16,EC,32,12.797765
16,16,EC,32,12.922118
16,16,EC,32,12.813882
16,16,EC,32,12.327647
16,16,EC,32,12.522882
16,16,EC,32,14.514353
16,16,EC,32,13.987529
16,16,EC,32,15.546235
16,16,EC,32,13.840118
16,16,EC,32,12.234235
16,16,EC,32,14.276118
16,16,EC,32,13.702059
16,16,EC,32,13.699824
16,16,EC,32,12.741588
16,16,EC,32,12.419529
16,16,EC,32,12.384471
16,16,EC,32,12.682706
16,16,EC,32,12.860118
16,16,EC,32,12.682471
16,16,EC,32,13.494000
16,16,EC,32,13.879235
16,16,EC,32,13.357765
16,16,EC,32,12.334765
16,16,EC,32,12.779412
16,16,EC,32,12.335647
16,16,EC,32,12.327118
16,16,EC,32,13.719765
16,16,EC,32,13.399529
16,16,EC,32,12.700765
16,16,EC,32,12.372824
16,16,EC,32,100.543765
16,16,EC,32,12.801647
16,16,EC,32,12.528824
16,16,EC,32,12.972176
16,16,EC,32,12.317000
16,16,EC,32,12.665294
16,16,EC,32,12.803765
16,16,EC,32,13.217941
16,16,EC,32,12.705471
16,16,EC,32,12.808059
16,16,EC,32,12.575176
16,16,EC,32,12.632176
16,16,EC,32,13.023471
16,16,EC,32,13.763118
16,16,EC,32,12.580765
16,16,EC,32,12.555176
16,16,EC,32,12.662824
16,16,EC,32,13.165000
16,16,EC,32,12.760765
16,16,EC,32,12.677235
16,16,EC,32,12.749235
16,16,EC,32,12.774294
16,16,EC,32,12.971588
16,16,EC,32,12.642529
16,16,EC,32,12.484824
16,16,EC,32,12.290294
16,16,EC,32,12.743824
16,16,EC,32,12.515118
16,16,EC,32,12.044941
16,16,EC,32,12.392588
16,16,EC,32,12.701765
16,16,EC,32,12.384118
16,16,EC,32,12.631647
16,16,EC,32,12.451118
16,16,EC,32,12.679000
16,16,EC,32,12.754882
16,16,EC,32,12.378176
16,16,EC,32,12.041765
16,16,EC,32,12.915000
16,16,EC,32,12.555059
16,16,EC,32,13.818235
16,16,EC,32,13.748412
16,16,EC,32,12.811647
16,16,EC,32,12.421294
16,16,EC,32,14.250882
16,16,EC,32,12.279647
16,16,EC,32,12.586588
16,16,EC,32,12.914118
16,16,EC,32,12.586471
16,16,EC,32,12.318412
16,16,EC,32,12.596706
16,16,EC,32,12.817824
16,16,EC,32,12.919824
16,16,EC,32,12.790235
16,16,EC,32,12.948824
16,16,EC,32,12.988824
16,16,EC,32,12.741588
16,16,EC,32,12.527412
16,16,EC,32,12.727824
16,16,EC,32,12.445294
16,16,EC,32,14.620588
16,16,EC,32,12.403471
16,16,EC,32,12.539706
16,16,EC,32,13.367353
16,16,EC,32,12.196118
16,16,EC,32,12.362647
16,16,EC,32,12.720176
16,16,EC,32,13.034824
16,16,EC,32,12.394118
16,16,EC,32,12.956824
16,16,EC,32,12.488294
16,16,EC,32,12.723176
16,16,EC,32,12.573647
16,16,EC,32,13.361588
16,16,EC,32,12.934294
16,16,EC,32,12.741235
16,16,EC,32,12.902765
16,16,EC,32,12.998294
16,16,EC,32,12.072706
16,16,EC,32,12.141000
16,16,EC,32,12.519824
16,16,EC,32,12.906529
16,16,EC,32,12.598294
16,16,EC,32,12.212471
16,16,EC,32,12.627882
16,16,EC,32,12.583588
16,16,EC,32,13.340000
16,16,EC,32,12.412647
16,16,EC,32,12.632882
16,16,EC,32,12.653941
16,16,EC,32,12.761706
16,16,EC,32,12.661412
16,16,EC,32,12.631059
16,16,EC,32,12.511471
16,16,EC,32,14.040529
16,16,EC,32,12.939529
16,16,EC,32,13.029353
16,16,EC,32,12.732882
16,16,EC,32,12.938059
16,16,EC,32,13.076294
16,16,EC,32,12.848706
16,16,EC,32,13.576471
16,16,EC,32,12.778647
16,16,EC,32,13.061294
16,16,EC,32,12.822529
16,16,EC,32,12.825000
16,16,EC,32,12.577353
16,16,EC,32,12.442471
16,16,EC,32,12.934353
16,16,EC,32,12.351118
16,16,EC,32,12.958235
16,16,EC,32,12.126588
16,16,EC,32,12.525235
16,16,EC,32,13.392824
16,16,EC,32,12.837176
16,16,EC,32,12.685353
16,16,EC,32,12.529824
16,16,EC,32,12.610765
16,16,EC,32,12.440176
16,16,EC,32,12.607294
16,16,EC,32,12.445294
16,16,EC,32,12.297294
16,16,EC,32,13.210412
16,16,EC,32,12.399471
16,16,EC,32,12.428294
16,16,EC,32,11.944294
16,16,EC,32,12.866647
16,16,EC,32,12.307706
16,16,EC,32,12.601235
16,16,EC,32,13.406176
16,16,EC,32,12.901059
16,16,EC,32,12.700353
16,16,EC,32,12.483588
16,16,EC,32,12.469294
16,16,EC,32,13.164235
16,16,EC,32,13.225941
16,16,EC,32,13.690353
16,16,EC,32,12.515706
16,16,EC,32,12.287353
16,16,EC,32,12.336588
16,16,EC,32,13.217529
16,16,EC,32,12.976824
16,16,EC,32,13.035765
16,16,EC,32,12.682706
16,16,EC,32,12.529000
16,16,EC,32,13.295529
16,16,EC,32,13.197353
16,16,EC,32,12.547824
16,16,EC,32,12.157824
16,16,EC,32,13.456765
16,16,EC,32,12.936941
16,16,EC,32,12.399882
16,16,EC,32,13.806941
16,16,EC,32,13.335941
16,16,EC,32,13.604000
16,16,EC,32,12.828294
16,16,EC,32,13.354765
16,16,EC,32,12.926529
16,16,EC,32,13.488235
16,16,EC,32,12.834471
16,16,EC,32,14.157941
16,16,EC,32,12.493118
16,16,EC,32,12.653706
16,16,EC,32,13.563294
16,16,EC,32,12.697235
16,16,EC,32,13.604353
16,16,EC,32,12.666412
16,16,EC,32,111.914765
16,16,EC,32,33.316647
16,16,EC,32,33.190412
16,16,EC,32,33.932353
16,16,EC,32,38.334235
16,16,EC,32,33.057647
16,16,EC,32,41.068824
16,16,EC,32,33.925882
16,16,EC,32,37.260176
16,16,EC,32,34.963294
16,16,EC,32,33.646647
16,16,EC,32,33.819059
16,16,EC,32,34.280000
16,16,EC,32,33.361000
16,16,EC,32,32.785765
16,16,EC,32,33.086176
16,16,EC,32,35.488765
16,16,EC,32,33.875882
16,16,EC,32,33.924176
16,16,EC,32,32.599235
16,16,EC,32,33.562824
16,16,EC,32,34.955059
16,16,EC,32,32.988294
16,16,EC,32,33.344882
16,16,EC,32,33.124882
16,16,EC,32,35.482765
16,16,EC,32,33.821235
16,16,EC,32,33.434176
16,16,EC,32,33.590294
16,16,EC,32,33.248765
16,16,EC,32,34.956529
16,16,EC,32,32.583941
16,16,EC,32,33.171118
16,16,EC,32,32.811647
16,16,EC,32,34.337588
16,16,EC,32,32.893941
16,16,EC,32,33.216000
16,16,EC,32,33.281588
16,16,EC,32,34.188294
16,16,EC,32,37.368294
16,16,EC,32,34.528235
16,16,EC,32,33.654588
16,16,EC,32,35.173176
16,16,EC,32,36.285824
16,16,EC,32,34.244824
16,16,EC,32,34.767294
16,16,EC,32,33.157824
16,16,EC,32,34.465941
16,16,EC,32,35.791412
16,16,EC,32,32.524235
16,16,EC,32,32.998000
16,16,EC,32,33.162059
16,16,EC,32,35.133471
16,16,EC,32,33.609588
16,16,EC,32,33.598176
16,16,EC,32,33.889588
16,16,EC,32,33.231824
16,16,EC,32,35.468588
16,16,EC,32,33.654647
16,16,EC,32,33.509647
16,16,EC,32,34.240412
16,16,EC,32,35.591941
16,16,EC,32,28.538235
16,16,EC,32,13.709294
16,16,EC,32,12.437706
16,16,EC,32,12.766235
16,16,EC,32,12.673176
16,16,EC,32,12.749647
16,16,EC,32,13.934353
16,16,EC,32,12.279176
16,16,EC,32,12.763824
16,16,EC,32,12.797294
16,16,EC,32,13.487706
16,16,EC,32,12.572588
16,16,EC,32,12.325941
16,16,EC,32,12.430471
16,16,EC,32,12.325412
16,16,EC,32,13.487529
16,16,EC,32,13.548529
16,16,EC,32,12.330647
16,16,EC,32,12.428176
16,16,EC,32,14.186941
16,16,EC,32,13.545647
16,16,EC,32,14.437176
